"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.294682886723254","0.273892774307692","0.309437864417741","0.313901342551121","0.101522842639594","0.117408906882591","0.12035010940919","0.0972827910097286","0.0353437094682231","0.0578586340590514","0.07039764359352","0.0677676537585423","0.0133916370593058","0.0646679881070368","0.0347425310683973","0.0419528872293414","0.194032964740246","0.237767734328945","0.354408225771166","0.20264116575592","0.201185938161796","0.185857722708823","0.23233528568503","0.267468534827862","0.272810086726998","1.76562054676272","1.81555932941576","1.12692857436316","1.00901349541751","1.34036469343732","1.14668633620985","",
"Africa Eastern and Southern","AFE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.53691753105455","0.544356512400328","0.610408699681688","0.668003661123252","0.743744050339978","0.995250749149232","1.07105314008319","1.05209734883476","1.03899724542632","0.813034411989712","0.952875084823178","0.896061859747649","0.991702550329679","0.772004769756836","0.713281426142312","0.91564864289568","0.8224824133407","0.91156436236824","0.86261303340783","0.730550754986638","0.983926963921367","1.09812662261798","1.15251877464034","1.09497013680014","0.892926307034447","1.04912473295811","0.925797150167792","0.954916772794878","0.678690028882415","0.690161147756209","0.717750476596923","0.797144828976142","0.908642021863338","0.913909861406478","0.979610355819254","0.985386651998754","0.963686262191792","1.05665042858482","1.1895990134457","1.0349923584326","0.989759422239001","1.356090075122","1.44110459336647","1.48658926468558","1.50254258476468","1.50018712379314",
"Afghanistan","AFG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.873584804020222","1.15752421242988","2.41915337775888","0.984675571603833","1.08602615943862","1.68817884200763","1.23289847652735","1.74328539513677","3.4834979174468","4.353917517621","4.36262851405768","4.38293425752144","3.91649418763638","2.05717080129383","",
"Africa Western and Central","AFW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.427749722168821","0.477021778350238","0.426450431844614","0.478405025211331","0.226284867871746","0.200320615762485","0.268204348496322","0.282326376572521","0.361256048007472","0.517129360052697","0.529213389249877","0.585373079763875","0.629170582127268","0.595254917823093","0.649090889577605","0.745159491063713","1.55706139439607","1.41802564933946","0.987768276809825","0.890883741960127","1.03890165198529","0.941746987339642","1.58540140800498","1.63781775139019","1.47807170666793","1.35206276270532","1.34415095186898","1.69648690223086","5.37897186471059","4.89006452637128","4.53272051935858","4.01508999622449","4.30483430608194","3.97678297391861","4.05031266142219","3.75430751011646","3.36673534372471","3.25079402763809","4.06135218168263","4.10571967614493","4.61342031265629","4.50567153078815","3.96166953529562","3.71367250947472","3.99598098264205","3.96618649782639",
"Angola","AGO","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0683143964102632","","","","","","","","","0","0","0","0.0927097783817399","0.000230927285022558","0.0219977246945622","0.000187095690082471","0.0322795452662395","0.0274640005166924","0.0225663928309607","0.0127434083408153","0.0080016233502695","0.00205616774913769","0.00203006475808284","0.00497116967790612","0.0160287252834523","0.0192297566430803","0.0131243712304762",
"Albania","ALB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2759615337456","28.0094210219427","16.3268486642607","17.8580021931142","17.2175575329711","13.2963534184062","19.801532657049","12.6769794000821","17.1764074549231","17.8297304636267","16.8711703482753","15.8379965268343","16.1548067697706","16.0170386148898","15.2816531472597","13.7489494558302","14.4828076781717","14.2616132034184","13.302456847233","12.04024030797","11.5242826205712","10.0330744032662","10.7423012378312","11.3364376607451","11.010767760015","10.0756529807473","9.62106925677079","9.56258195561188","9.66835659483992","9.58338963069504","9.24285725656975",
"Andorra","AND","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.668748058278125","1.64013507046371","","",
"Arab World","ARB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.04761047732205","1.8779883282201","1.94766846547138","1.76644215109796","1.85984086057218","1.87459740551023","1.79267371470978","1.92848166491354","1.9460479541319","2.16098333677503","2.29131065286241","2.27745872661731","2.33752763431909","2.28773849327833","2.38466892352236","2.79134721031319","2.85731582578864","2.12964634765251",
"United Arab Emirates","ARE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","0.0291972596105791","0.0606477798448147","0.0727632539285346","0.053382925314063","0.0332117597743446","0.026928486758215","0.0273702995664795","0.0306292987747408","0.0302250711965358","0.0312468737901249","0.0238631449285952","0.0346601768004971","0.0161581713239372","0.0100780109769259","0.00673138706108622","0.0243725533357484","0.0242386581455873","0.0246481295421978","0.0238839095020297","0.0224340040770473","0.0229136648232595","0.0226789361004222","0.030380900529948","0.0705628184933387","0.211442420500352","0.214300874545602","0.189350126740114","0.217417890692876","0.232474118424109","0.210933764847302","0.195029381449765","0.188764794272549","0.152091367663287","0.131541793716221","0.105778682207302","0.0969166746867399","0.0960152008279335","0.0831331023452092","0.0702343228308766","0.0745674775459197","0.0995468168061567","0.125380808147072","0.168859243887685","0.18709787419386","0.198887287406639",
