country_code,country_name,skill_group_category,skill_group_name,year,value
ar,Argentina,Disruptive Tech Skills,Genetic Engineering,2015,-32.02
ar,Argentina,Business Skills,People Management,2015,-75.19
ar,Argentina,Specialized Industry Skills,Family Medicine,2015,-30.92
ar,Argentina,Business Skills,Commercial Banking,2015,-66.12
ar,Argentina,Specialized Industry Skills,K-12 Education,2015,-29.67
ar,Argentina,Specialized Industry Skills,Retail,2015,-48.38
ar,Argentina,Specialized Industry Skills,International Law,2015,-85.26
ar,Argentina,Business Skills,Capital Markets,2015,-78.56
ar,Argentina,Specialized Industry Skills,Environmental Consulting,2015,-66.13
ar,Argentina,Specialized Industry Skills,Wellness,2015,-9.11
ar,Argentina,Specialized Industry Skills,Art History,2015,-3.34
ar,Argentina,Specialized Industry Skills,Architecture,2015,-25.84
ar,Argentina,Business Skills,Financial Accounting,2015,-50.81
ar,Argentina,Specialized Industry Skills,Cybersecurity,2015,-70.76
ar,Argentina,Specialized Industry Skills,Real Estate,2015,-48.63
ar,Argentina,Soft Skills,Active Learning,2015,-37.69
ar,Argentina,Specialized Industry Skills,Public Safety,2015,-41.72
ar,Argentina,Specialized Industry Skills,Pharmaceutical Manufacturing,2015,-21.42
ar,Argentina,Specialized Industry Skills,Environmental Science,2015,-42.28
ar,Argentina,Tech Skills,System Administration,2015,-23.6
ar,Argentina,Soft Skills,Leadership,2015,-43.23
ar,Argentina,Specialized Industry Skills,Criminal Law,2015,0.0
ar,Argentina,Business Skills,Auditing,2015,-43.26
ar,Argentina,Specialized Industry Skills,Personal Coaching,2015,-49.91
ar,Argentina,Specialized Industry Skills,Organic Chemistry,2015,0.0
ar,Argentina,Business Skills,Operational Efficiency,2015,-78.79
ar,Argentina,Specialized Industry Skills,Law,2015,-32.33
ar,Argentina,Business Skills,Administrative Assistance,2015,-22.86
ar,Argentina,Specialized Industry Skills,Telecommunications,2015,-35.07
ar,Argentina,Specialized Industry Skills,Physics,2015,20.85
ar,Argentina,Soft Skills,Negotiation,2015,-33.72
ar,Argentina,Specialized Industry Skills,Pharmaceutics,2015,-25.91
ar,Argentina,Specialized Industry Skills,Food Manufacturing,2015,4.3
ar,Argentina,Specialized Industry Skills,Environmental Engineering,2015,96.06
ar,Argentina,Business Skills,Management Accounting,2015,-26.64
ar,Argentina,Tech Skills,Technical Support,2015,-47.4
ar,Argentina,Business Skills,Human Resources (HR),2015,-43.44
ar,Argentina,Specialized Industry Skills,Psychology,2015,7.49
ar,Argentina,Specialized Industry Skills,Higher Education,2015,-44.18
ar,Argentina,Business Skills,Accounts Payable,2015,-33.85
ar,Argentina,Business Skills,Manufacturing Operations,2015,-32.5
ar,Argentina,Tech Skills,Computer Networking,2015,-38.24
ar,Argentina,Specialized Industry Skills,Inventory Management,2015,-29.46
ar,Argentina,Business Skills,Tax Accounting,2015,-32.87
ar,Argentina,Soft Skills,Communication,2015,-17.0
ar,Argentina,Specialized Industry Skills,Radio Production,2015,5.42
ar,Argentina,Specialized Industry Skills,Nonprofit Management,2015,-41.92
ar,Argentina,Specialized Industry Skills,Maritime Operations,2015,-45.82
ar,Argentina,Business Skills,Payroll Services,2015,-47.97
ar,Argentina,Specialized Industry Skills,Agricultural Production,2015,-14.03
ar,Argentina,Tech Skills,Digital Literacy,2015,-8.46
ar,Argentina,Specialized Industry Skills,Teaching,2015,-14.33
ar,Argentina,Specialized Industry Skills,Delivery Operations,2015,-44.05
ar,Argentina,Business Skills,Project Management,2015,-34.32
ar,Argentina,Business Skills,Business Management,2015,-15.28
ar,Argentina,Business Skills,Procurement,2015,-29.94
ar,Argentina,Disruptive Tech Skills,Robotics,2015,-57.08
ar,Argentina,Business Skills,Employee Learning & Development,2015,76.13
ar,Argentina,Specialized Industry Skills,Labor and Employment Law,2015,-14.24
ar,Argentina,Business Skills,Insurance,2015,-41.72
